"Species","Common","IUIS Allergen","Type","Group","Allergenicity","Length","Accession","GI#","1st Version"
"Corylus avellana","European hazelnut","Unassigned","Food Plant","Corylus Cor a 2 profilins","IgE but no biological test","131","A4KA41.1","576017879","15"
"Corylus avellana","European hazelnut","Unassigned","Food Plant","Corylus Cor a 2 profilins","IgE but no biological test","133","A4KA40.1","576017878","15"
"Corylus avellana","European hazelnut","Unassigned","Food Plant","Corylus Cor a 2 profilins","IgE but no biological test","133","A4KA44.1","576017819","15"
"Corylus avellana","European hazelnut","Unassigned","Food Plant","Corylus Cor a 2 profilins","IgE but no biological test","131","A4KA43.1","576017779","15"
"Corylus avellana","European hazelnut","Unassigned","Food Plant","Corylus Cor a 2 profilins","IgE but no biological test","133","A4KA45.1","576017777","15"
"Corylus avellana","European hazelnut","Unassigned","Food Plant","Corylus Cor a 2 profilins","IgE but no biological test","133","A4KA39.1","576017776","15"
"Corylus avellana","European hazelnut","Cor a 8.0101","Food Plant","Corylus Cor a 8","IgE but no biological test","115","AAK28533.1","13507262","7"
"Corylus avellana","European hazelnut","Cor 1 9.0101","Food Plant","Corylus Cor a 9","IgE plus basophil+ or SPT+","515","AAL73404.1","18479082","7"
"Crangon crangon","Shrimp","Cra c 1.0101","Food Animal","Crangon Cra c 1 tropomyosin","IgE but no biological test","284","ACR43473.1","238477263","12"
"Crangon crangon","Shrimp","Cra c 2.0101","Food Animal","Crangon Cra c 2 arginine kinase","IgE but no biological test","356","ACR43474.1","238477265","12"
"Crangon crangon","Shrimp","Cra c 4.0101","Food Animal","Crangon Cra c 4 sarcoplasmic calcium-binding prote","IgE but no biological test","193","ACR43475.1","238477327","12"
"Crangon crangon","Shrimp","Cra c 5.0101","Food Animal","Crangon Cra c 5 myosin light chain","IgE but no biological test","153","ACR43477.1","238477331","12"
"Crangon crangon","Shrimp","Cra c 6.0101","Food Animal","Crangon Cra c 6 troponin C","IgE but no biological test","150","ACR43478.1","238477333","12"
"Crangon crangon","Shrimp","Cra c 8.0101","Food Animal","Crangon Cra c 8 triosephosphate isomerase","IgE but no biological test","249","ACR43476.1","238477329","12"
"Crassostrea gigas","American  oyster","Cra g 1.0102","Food Animal","Crassostrea Tropomyosin Cra g 1","IgE but no biological test","284","BAH10152.1","219806594","10"
"Crassostrea gigas","American  oyster","Cra g 1.0101","Food Animal","Crassostrea Tropomyosin Cra g 1","IgE but no biological test","284","ARX70262.1","1203820203","18"
"Crassostrea virginica","Eastern oyster","Unassigned","Food Animal","Crassostrea Tropomyosin Cra g 1","IgE but no biological test","160","AAC61869.1","3668408","7"
"Ctenopharyngodon idella","","Unassigned","Food Animal","Cten i 1 parvalbumin","IgE but no biological test","109","QCY53440.1","1679379623","20"
"Cucumis melo","Muskmelon","Cuc m 1.0101","Food Plant","Cucumis Cuc m 1","IgE but no biological test","731","BAA06905.1","807698","7"
"Cucumis melo","Muskmelon","Unassigned","Food Plant","Cucumis Cuc m 2","IgE plus basophil+ or SPT+","131","CAD92666.1","31559374","7"
"Cucumis melo","Muskmelon","Cuc m 2.0101","Food Plant","Cucumis Cuc m 2","IgE plus basophil+ or SPT+","131","AAW69549.1","58263793","7"
"Cucumis melo","Muskmelon","Cuc m 3.0101","Food Plant","Cucumis Cuc m 3","IgE plus basophil+ or SPT+","41","P83834.1","46396595","9"
"Cucumis melo var. inodorus","Muskmelon","Unassigned","Food Plant","Cucumis Cuc m 3","IgE plus basophil+ or SPT+","151","ACB45874.1","171464770","9"
"Cucumis melo var. reticulatus","Netted muskmelon","Unassigned","Food Plant","Cucumis Cuc m 2","IgE plus basophil+ or SPT+","131","AAP13533.2","57021110","7"
"Cucurbita maxima","","Unassigned","Food Plant","Cuc ma 4","IgE but no biological test","480","P13744.1","112677","20"
"Cucurbita maxima","","Unassigned","Food Plant","Cuc ma 5","IgE but no biological test","141","Q39649.1","68564970","20"
"Cyprinus carpio","Carp","Cyp c 1.0101","Food Animal","Cyprinus Cyp c 1 Parvalbumin","IgE plus basophil+ or SPT+","109","CAC83658.1","17977825","7"
"Cyprinus carpio","Carp","Cyp c 1.0201","Food Animal","Cyprinus Cyp c 1 Parvalbumin","IgE plus basophil+ or SPT+","109","CAC83659.1","17977827","7"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus cyclophilin","IgE but no biological test","171","AEY79726.1","373939374","13"
"Daucus carota","Carrot","Dau c 1.0101","Food Plant","Daucus Dau c 1","IgE plus basophil+ or SPT+","168","AAB01092.1","1335877","7"
"Daucus carota","Carrot","Dau c 1.0102","Food Plant","Daucus Dau c 1","IgE plus basophil+ or SPT+","154","BAA13604.1","1663522","7"
"Daucus carota","Carrot","Dau c 1.0103","Food Plant","Daucus Dau c 1","IgE plus basophil+ or SPT+","154","CAB03715.1","2154732","7"
"Daucus carota","Carrot","Dau c 1.0104","Food Plant","Daucus Dau c 1","IgE plus basophil+ or SPT+","154","CAB03716.1","2154734","7"
"Daucus carota","Carrot","Dau c 1.0105","Food Plant","Daucus Dau c 1","IgE plus basophil+ or SPT+","154","CAB06416.1","2154736","7"
"Daucus carota","Carrot","Dau c 1.0201","Food Plant","Daucus Dau c 1","IgE plus basophil+ or SPT+","154","AAL76932.1","18652047","7"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","IgE plus basophil+ or SPT+","154","BAB88129.1","19912791","7"
"Daucus carota","Carrot","Dau c 1.0301","Food Plant","Daucus Dau c 1","IgE plus basophil+ or SPT+","154","ADL32660.1","302379147","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","IgE plus basophil+ or SPT+","154","ADL32661.1","302379149","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","IgE plus basophil+ or SPT+","154","ADL32662.1","302379151","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","IgE plus basophil+ or SPT+","154","ADL32663.1","302379153","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","IgE plus basophil+ or SPT+","154","ADL32664.1","302379155","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","IgE plus basophil+ or SPT+","154","ADL32665.1","302379157","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","IgE plus basophil+ or SPT+","154","ADL32666.1","302379159","12"
"Daucus carota","Carrot","Dau c 4.0101","Food Plant","Daucus Dau c 4","IgE plus basophil+ or SPT+","134","AAL76933.1","18652049","7"
"Daucus carota","Carrot","Dau c 5.0101","Food Plant","Daucus Dau c 5 isoflavone reductase","IgE but no biological test","306","AEY79728.1","373939378","13"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 5 isoflavone reductase","IgE but no biological test","306","AEY79727.1","373939376","13"
"Equus asinus","","Equ a 6","Food Animal","Equus asinus / caballas  Equ a 6 Equ c 6 lysozyme","IgE plus basophil+ or SPT+","148","XP_014705584.1","958727973","18"
"Equus caballus","Horse","Equ c 6","Food Animal","Equus asinus / caballas  Equ a 6 Equ c 6 lysozyme","IgE plus basophil+ or SPT+","129","P11376.1","126614","18"
"Erimacrus isenbeckii","Horsehair crab","Unassigned","Food Animal","Erimacrus tropomyosin","IgE but no biological test","284","BAF47268.1","125995169","8"
"Erimacrus isenbeckii","Horsehair crab","Unassigned","Food Animal","Erimacrus tropomyosin","IgE but no biological test","284","BAF47269.1","125995171","8"
"Eriocheir sinensis","Chinese mitten crab","Eri s 2.0101","Food Animal","Eriocheir sinensis Eri s 2","IgE plus basophil+ or SPT+","252","AAO73305.1","37778438","16"
"Eriocheir sinensis","Chinese mitten crab","Unassigned","Food Animal","Eriocheir tropomyosin","IgE but no biological test","284","ABO71783.1","134305330","8"
"Euphausia pacifica","North Pacific Krill","Unassigned","Food Animal","Euphausia","IgE plus basophil+ or SPT+","284","BAF76431.1","156712754","9"
"Euphausia superba","Krill","Unassigned","Food Animal","Euphausia","IgE plus basophil+ or SPT+","284","BAF76430.1","156712752","9"
"Evynnis japonica","Crimson seabream","Unassigned","Food Animal","Evynnis parvalbumin","IgE but no biological test","109","BAK09233.1","327342663","12"
"Evynnis japonica","Crimson seabream","Unassigned","Food Animal","Evynnis parvalbumin","IgE but no biological test","108","BAK09232.1","327342661","12"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum BW 8 kDa protein","IgE but no biological test","133","BAB79444.1","17907758","7"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum esculentum 13S globulins IgE binding","IgE but no biological test","453","BAO50872.1","584592120","15"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum esculentum 13S globulins IgE binding","IgE but no biological test","453","BAO50870.1","584592116","15"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum Fag e 2 Fag t 2","IgE but no biological test","127","AAX57578.1","61970231","7"
"Fagopyrum esculentum","Buckwheat","Fag e 2.0101","Food Plant","Fagopyrum Fag e 2 Fag t 2","IgE but no biological test","149","ABC18306.1","83416591","7"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum Legumin-like protein","IgE but no biological test","565","O23878.1","29839254","9"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum Legumin-like protein","IgE but no biological test","504","O23880.1","29839255","9"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum Legumin-like protein","IgE but no biological test","538","Q9XFM4.1","29839419","9"
"Fagopyrum esculentum","Buckwheat","Fag e 3.0101","Food Plant","Fagopyrum vicilin-like Fag e 3","IgE but no biological test","136","ABQ10638.1","146217148","9"
"Fagopyrum esculentum","Buckwheat","Unassigned","Food Plant","Fagopyrum vicilin-like Fag e 3","IgE but no biological test","136","BAT21117.1","939106201","17"
"Fagopyrum tataricum","Buckwheat","Unassigned","Food Plant","Fagopyrum BW 8 kDa protein","IgE but no biological test","133","ABO93594.1","144228127","8"
"Fagopyrum tataricum","Buckwheat","Fag t 2.0101","Food Plant","Fagopyrum Fag e 2 Fag t 2","IgE but no biological test","149","ADW27428.1","320445237","12"
"Fagopyrum tataricum","Buckwheat","Unassigned","Food Plant","Fagopyrum Legumin-like protein","IgE but no biological test","515","ABI32184.1","113200131","9"
"Farfantepenaeus aztecus","Brown shrimp","Pen a 1.0101","Food Animal","Farfantepenaeus Pen a 1","IgE plus basophil+ or SPT+","284","AAZ76743.1","73532979","7"
"Fenneropenaeus chinensis","Chinese white shrimp","Unassigned","Food Animal","Fenneropenaeus Arginine kinase","IgE but no biological test","53","AAS98889.1","46486948","9"
"Fenneropenaeus chinensis","Chinese white shrimp","Unassigned","Food Animal","Fenneropenaeus Arginine kinase","IgE but no biological test","53","AAS98890.1","46486951","9"
"Fenneropenaeus chinensis","Chinese white shrimp","Unassigned","Food Animal","Penaeus chinensis arginine kinase","IgE plus basophil+ or SPT+","356","AAV83993.1","56182374","20"
"Fenneropenaeus merguiensis","Banana Prawn","Unassigned","Food Animal","Fenneropenaeus  hemocyanin banana shrimp","IgE but no biological test","661","AGT20779.1","530340505","15"
"Fenneropenaeus merguiensis","Banana Prawn","Unassigned","Food Animal","Fenneropenaeus enolase","IgE but no biological test","117","AEM89226.1","344049993","15"
"Fragaria x ananassa","Strawberry","","Food Plant","Fragaria  Fra a 1","IgE plus basophil+ or SPT+","160","CAJ85646.1","90185692","7"
"Fragaria x ananassa","Strawberry","","Food Plant","Fragaria  Fra a 1","IgE plus basophil+ or SPT+","159","CAJ85644.1","90185688","7"
"Fragaria x ananassa","Strawberry","Fra a 1","Food Plant","Fragaria  Fra a 1","IgE plus basophil+ or SPT+","160","CAJ85642.1","90185684","7"
"Fragaria x ananassa","Strawberry","","Food Plant","Fragaria  Fra a 1","IgE plus basophil+ or SPT+","160","CAJ85641.1","90185682","7"
"Fragaria x ananassa","Strawberry","Fra a 1.0102","Food Plant","Fragaria  Fra a 1","IgE plus basophil+ or SPT+","160","ABD39049.1","88082485","7"
"Fragaria x ananassa","Strawberry","Unassigned","Food Plant","Fragaria  Fra a 1","IgE plus basophil+ or SPT+","160","ACX47057.1","260600660","11"
"Fragaria x ananassa","Strawberry","Unassigned","Food Plant","Fragaria  Fra a 1","IgE plus basophil+ or SPT+","159","ACX47058.1","260600662","11"
"Fragaria x ananassa","Strawberry","Unassigned","Food Plant","Fragaria  Fra a 1","IgE plus basophil+ or SPT+","160","BBE27860.1","1394298081","19"
"Fragaria x ananassa","Strawberry","Fra a 3.0101","Food Plant","Fragaria Fra a 3","IgE plus basophil+ or SPT+","117","CAC86258.1","18477856","15"
"Fragaria x ananassa","Strawberry","Fra a 3.0102","Food Plant","Fragaria Fra a 3","IgE plus basophil+ or SPT+","117","AAY83342.1","67937767","15"
"Fragaria x ananassa","Strawberry","Fra a 3.0201","Food Plant","Fragaria Fra a 3","IgE plus basophil+ or SPT+","117","AAY83341.1","67937765","15"
"Fragaria x ananassa","Strawberry","Fra a 3.0202","Food Plant","Fragaria Fra a 3","IgE plus basophil+ or SPT+","117","AAY83345.1","67937773","15"
"Fulvia mutica","Mollusc","Unassigned","Food Animal","Fulvia tropomyosin","IgE but no biological test","284","BAH10153.1","219806596","10"
"Gadus callarias","Baltic cod","Gad c 1.0101","Food Animal","Gadus Gad c 1 Gad m 1","IgE plus basophil+ or SPT+","113","P02622.1","131112","7"
"Gadus morhua","Atlantic cod","Gad m 1.0101","Food Animal","Gadus Gad c 1 Gad m 1","IgE plus basophil+ or SPT+","109","AAK63086.1","14531014","7"
"Gadus morhua","Atlantic cod","Gad m 1.0201","Food Animal","Gadus Gad c 1 Gad m 1","IgE plus basophil+ or SPT+","109","AAK63087.1","14531016","7"
"Gadus morhua","Atlantic cod","Gad m 1.0102","Food Animal","Gadus Gad c 1 Gad m 1","IgE plus basophil+ or SPT+","109","CAM56785.1","148356691","9"
"Gadus morhua","Atlantic cod","Gad m 1.0202","Food Animal","Gadus Gad c 1 Gad m 1","IgE plus basophil+ or SPT+","109","CAM56786.1","148356693","9"
"Gadus morhua","Atlantic cod","","Food Animal","Gadus morhua Gad m 3","IgE but no biological test","15","P86980.1","576011086","15"
"Gallus gallus","chicken","Gal d 9.0101","Food Animal","Gallus enolase Gal d 9","IgE plus basophil+ or SPT+","434","NP_990450.1","46048765","18"
"Gallus gallus","chicken","Gal d 1.0101","Food Animal","Gallus Gal d 1","IgE plus basophil+ or SPT+","210","P01005.1","124757","7"
"Gallus gallus","chicken","Unassigned","Food Animal","Gallus Gal d 1","IgE plus basophil+ or SPT+","210","ACJ04729.1","209979542","10"
"Gallus gallus","chicken","","Food Animal","Gallus Gal d 2","IgE plus basophil+ or SPT+","155","CAA23681.1","63052","7"
"Gallus gallus","chicken","Gal d 2.0101","Food Animal","Gallus Gal d 2","IgE plus basophil+ or SPT+","386","P01012.2","129293","7"
"Gallus gallus","chicken","","Food Animal","Gallus Gal d 2","IgE plus basophil+ or SPT+","386","CAA23682.1","808969","7"
"Gallus gallus","chicken","","Food Animal","Gallus Gal d 2","IgE plus basophil+ or SPT+","385","1JTI_A","15826578","7"
"Gallus gallus","chicken","Unassigned","Food Animal","Gallus Gal d 2","IgE plus basophil+ or SPT+","385","1UHG_D","34811333","7"
"Gallus gallus","chicken","Gal d 3.0101","Food Animal","Gallus Gal d 3","IgE plus basophil+ or SPT+","705","CAA26040.1","757851","7"
"Gallus gallus","chicken","","Food Animal","Gallus Gal d 3","IgE plus basophil+ or SPT+","705","P02789.2","1351295","7"
"Gallus gallus","chicken","","Food Animal","Gallus Gal d 4","IgE plus basophil+ or SPT+","147","P00698.1","126608","7"
"Gallus gallus","chicken","","Food Animal","Gallus Gal d 4","IgE plus basophil+ or SPT+","24","AAA48944.1","212279","7"
"Gallus gallus","chicken","Gal d 4.0101","Food Animal","Gallus Gal d 4","IgE plus basophil+ or SPT+","147","CAA23711.1","63581","15"
"Gallus gallus","chicken","Gal d 5.0101","Food Animal","Gallus Gal d 5","IgE plus basophil+ or SPT+","615","CAA43098.1","63748","7"
"Gallus gallus","chicken","Gal d 6.0101","Food Animal","Gallus Gal d 6 YGP42","IgE but no biological test","1912","BAA13973.1","1871444","14"
"Gallus gallus","chicken","","Food Animal","Gallus gallus Gal d 7","IgE but no biological test","192","P02604.3","55584149","16"
"Gallus gallus","chicken","Gal d 8.0101","Food Animal","Gallus parvalbumin Gal d 8","IgE plus basophil+ or SPT+","110","CAX32963.1","225877920","10"
"Glycine max","Soybean","Gly m 7.0101","Food Plant","Glycine 68kDa biotinylated protein","IgE plus basophil+ or SPT+","643","ACS49840.1","240254706","11"
"Glycine max","Soybean","Gly m 3.0102","Food Plant","Glycine Gly m 3","IgE but no biological test","131","CAA11755.1","3021373","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m 3","IgE but no biological test","131","ABU97472.1","156938901","9"
"Glycine max","Soybean","Gly m 3.0101","Food Plant","Glycine Gly m 3","IgE but no biological test","131","CAA11756.1","3021375","15"
"Glycine max","Soybean","Gly m 4.0101","Food Plant","Glycine Gly m 4","IgE plus basophil+ or SPT+","158","CAA42646.1","18744","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m 5.0101 alpha subunit beta congl","IgE but no biological test","605","CAA35691.1","18536","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m 5.0101 alpha subunit beta congl","IgE but no biological test","218","AAA33947.1","169927","7"
"Glycine max","Soybean","Gly m 5.0101","Food Plant","Glycine Gly m 5.0101 alpha subunit beta congl","IgE but no biological test","543","BAA23360.2","9967357","15"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m 5.0201 alpha prime beta congly","IgE but no biological test","639","AAB01374.1","169929","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m 5.0201 alpha prime beta congly","IgE but no biological test","621","BAB64303.1","15425631","15"
"Glycine max","Soybean","Gly m 5.0201","Food Plant","Glycine Gly m 5.0201 alpha prime beta congly","IgE but no biological test","559","BAA74452.2","9967361","15"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m 5.0301 beta sub unit beta congl","IgE but no biological test","439","BAB64306.1","15425637","15"
"Glycine max","Soybean","Gly m 5.0301","Food Plant","Glycine Gly m 5.0301 beta sub unit beta congl","IgE but no biological test","439","P25974.1","121282","15"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m 5.0301 beta sub unit beta congl","IgE but no biological test","439","F7J077.1","1559988709","20"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m 6.0101","IgE but no biological test","495","CAA26723.1","18615","7"
"Glycine max","Soybean","Gly m 6.0101","Food Plant","Glycine Gly m 6.0101","IgE but no biological test","495","AAA33966.1","169973","15"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m 6.0201","IgE but no biological test","485","CAA26575.1","18609","7"
"Glycine max","Soybean","Gly m 6.0201","Food Plant","Glycine Gly m 6.0201","IgE but no biological test","485","BAA00154.1","218265","15"
"Glycine max","Soybean","Gly m 6.0301","Food Plant","Glycine Gly m 6.0301","IgE but no biological test","481","CAA33217.1","18639","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m 6.0401","IgE but no biological test","562","CAA37044.1","18641","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m 6.0401","IgE but no biological test","562","CAA26478.1","732706","7"
"Glycine max","Soybean","Gly m 6.0401","Food Plant","Glycine Gly m 6.0401","IgE but no biological test","563","BAA74953.1","4249568","15"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m 6.0501","IgE but no biological test","516","AAA33964.1","169969","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m 6.0501","IgE but no biological test","240","AAA33965.1","169971","7"
"Glycine max","Soybean","Gly m 6.0501","Food Plant","Glycine Gly m 6.0501","IgE but no biological test","517","BAB15802.1","10566449","15"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m 8 2s albumin","IgE but no biological test","155","AAD09630.1","4097894","14"
"Glycine max","Soybean","Gly m 8.0101","Food Plant","Glycine Gly m 8 2s albumin","IgE but no biological test","158","NP_001238443.1","351727517","15"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m Bd 28K","IgE but no biological test","373","ACD36976.1","187766751","10"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m Bd 28K","IgE but no biological test","373","ACD36975.1","187766749","10"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m Bd 28K","IgE but no biological test","373","ACD36974.1","187766747","10"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m Bd 28K","IgE but no biological test","455","ACD36978.1","187766755","10"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m Bd 28K","IgE but no biological test","476","BAB21619.2","410067729","15"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m Bd 30 kDa","IgE but no biological test","379","P22895.1","129353","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m Bd 30 kDa","IgE but no biological test","379","AAB09252.1","1199563","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Gly m Bd 30 kDa","IgE but no biological test","379","BAA25899.1","3097321","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Major Gly 50 kDa allergen","IgE but no biological test","17","P82947.1","85681057","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Trypsin inhibitor","IgE but no biological test","217","CAA45777.1","18770","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Trypsin inhibitor","IgE but no biological test","217","CAA45778.1","18772","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Trypsin inhibitor","IgE but no biological test","216","AAB23464.1","256429","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Trypsin inhibitor","IgE but no biological test","203","AAB23482.1","256635","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Trypsin inhibitor","IgE but no biological test","204","AAB23483.1","256636","7"
"Glycine max","Soybean","Unassigned","Food Plant","Glycine Trypsin inhibitor","IgE but no biological test","208","CAA56343.1","510515","7"
"Glycine soja","Soybean","Unassigned","Food Plant","Glycine Gly m 6.0401","IgE but no biological test","563","CAA60533.1","806556","7"
"Haliotis discus discus","Disk abalone","Unassigned","Food Animal","Haliotis Hal m 1 tropomyosin","IgE but no biological test","284","BAH10148.1","219806586","10"
"Haliotis discus discus","Disk abalone","Unassigned","Food Animal","Haliotis paramyosin","IgE but no biological test","860","BAJ61596.1","318609972","12"
"Haliotis diversicolor","Abalone","Unassigned","Food Animal","Haliotis Hal m 1 tropomyosin","IgE but no biological test","284","AAG08987.1","9954249","7"
"Haliotis laevigata x Haliotis rubra","","Hal l 1.0101","Food Animal","Haliotis Hal m 1 tropomyosin","IgE but no biological test","284","APG42675.1","1109557549","18"
"Helianthus annuus","Sunflower","Hel a 3.0101","Food Plant","Hel a 3","IgE but no biological test","116","AAP47226.1","31324341","15"
"Helianthus annuus","Sunflower","Unassigned","Food Plant","Hel a 6","IgE but no biological test","141","P23110.1","112745","9"
"Helix aspersa","Brown garden snail","Hel as 1.0101","Food Animal","Helix Hel as 1 tropomyosin","IgE but no biological test","284","CAB38044.1","4468224","7"
"Homarus americanus","American lobster","Hom a 1.0102","Food Animal","Homarus Hom a 1","IgE plus basophil+ or SPT+","284","AAC48288.1","2660868","7"
"Homarus americanus","American lobster","Hom a 1.0101","Food Animal","Homarus Hom a 1","IgE plus basophil+ or SPT+","284","AAC48287.1","2660866","15"
"Hordeum vulgare","Barley","Unassigned","Food Plant","Hordeum Hor v 20","IgE plus basophil+ or SPT+","289","P80198.1","1708280","15"
"Hordeum vulgare","Barley","Hor v 20.0101","Food Plant","Hordeum Hor v 20","IgE plus basophil+ or SPT+","286","CAA51204.1","288709","15"
"Hordeum vulgare","Barley","Unassigned","Food Plant","Hordeum LTP 1","IgE but no biological test","134","CAA42832.1","19039","7"
"Hordeum vulgare subsp. vulgare","Barley","Hor v 15.0101","Food Plant","Hordeum Hor v 15","IgE plus basophil+ or SPT+","146","CAA45085.1","19003","15"
"Juglans nigra","Black walnut","Jug n 4.0101","Food Plant","Jug n 4","IgE but no biological test","510","APR62629.1","1126299828","18"
"Juglans nigra","Black walnut","Jug n 1.0101","Food Plant","Jug r 1 Jug n 1","IgE plus basophil+ or SPT+","161","AAM54365.1","31321942","7"
"Juglans nigra","Black walnut","Jug n 2.0101","Food Plant","Jug r 2","IgE but no biological test","481","AAM54366.1","31321944","7"
"Juglans regia","English walnut","Jug r 1.0101","Food Plant","Jug r 1 Jug n 1","IgE plus basophil+ or SPT+","139","AAB41308.1","1794252","7"
"Juglans regia","English walnut","","Food Plant","Jug r 2","IgE but no biological test","593","AAF18269.1","6580762","7"
"Juglans regia","English walnut","Jug r 3.0101","Food Plant","Jug r 3","IgE but no biological test","119","ACI47547.1","209484145","11"
"Juglans regia","English walnut","Jug r 4.0101","Food Plant","Jug r 4","IgE but no biological test","507","AAW29810.1","56788031","7"
"Juglans regia","English walnut","Jug r 5.0101","Food Plant","Jug r 5","IgE plus basophil+ or SPT+","160","APD76154.1","1104688661","17"
"Juglans regia","English walnut","Jug r 6.0101","Food Plant","Jug r 6","IgE but no biological test","502","XP_018814692.1","1098817075","19"
"Juglans regia","English walnut","Unassigned","Food Plant","Jug r 7","IgE but no biological test","131","AVD53651.1","1343184140","20"
"Lactuca sativa","Garden lettuce","Lac s 1","Food Plant","Lactuca sativa LTP","IgE plus basophil+ or SPT+","117","A0A2J6KL39.1","1559988728","20"
"Lates calcarifer","Asian Seabass","Unassigned","Food Animal","Lat c 6","IgE plus basophil+ or SPT+","1449","XP_018521723.1","1079717864","20"
"Lates calcarifer","Asian Seabass","Unassigned","Food Animal","Lat c 6","IgE plus basophil+ or SPT+","1355","XP_018522130.1","1079717942","21"
"Lates calcarifer","Asian Seabass","Unassigned","Food Animal","Lat c 6","IgE plus basophil+ or SPT+","729","XP_018558992.1","1079777957","21"
"Lates calcarifer","Asian Seabass","Lat c 1.0101","Food Animal","Lates Lat c 1","IgE but no biological test","109","AAV97933.1","56553743","15"
"Lates calcarifer","Asian Seabass","Lat c 1.0201","Food Animal","Lates Lat c 1","IgE but no biological test","109","AAT45383.1","48526356","15"
"Lens culinaris","Lentil","Len c 3.0101","Food Plant","Lens  Len c 3","IgE but no biological test","118","AAX35807.1","60735410","15"
"Lens culinaris","Lentil","Len c 1.0101","Food Plant","Lens Len c 1","IgE but no biological test","418","CAD87730.1","29539109","7"
"Lens culinaris","Lentil","Len c 1.0102","Food Plant","Lens Len c 1","IgE but no biological test","415","CAD87731.1","29539111","7"
"Lepidorhombus whiffiagonis","Flat fish","Lep w 1.0101","Food Animal","Lepidorhombus Lep w 1 parvalbumin","IgE but no biological test","109","CAP17694.1","208608078","10"
"Litchi chinensis","Lychee nut","Lit c 1.0101","Food Plant","Litchi Lit c 1","IgE but no biological test","131","AAL07320.1","15809696","7"
"Litchi chinensis","Lychee nut","Unassigned","Food Plant","Litchi Lit c 1","IgE but no biological test","131","ABC02750.1","83317152","7"
"Litopenaeus vannamei","Whiteleg Shrimp","Lit v 4.0101","Food Animal","Litopenaeus  Lit v 4 sarcoplasmic Ca+ binding","IgE plus basophil+ or SPT+","193","ACM89179.1","223403273","11"
"Litopenaeus vannamei","Whiteleg Shrimp","Lit v 1.0101","Food Animal","Litopenaeus Lit v 1 tropomyosin","IgE but no biological test","284","ACB38288.1","170791252","10"
"Litopenaeus vannamei","Whiteleg Shrimp","Lit v 2.0101","Food Animal","Litopenaeus Lit v 2","IgE but no biological test","356","ABI98020.1","115492980","8"
"Litopenaeus vannamei","Whiteleg Shrimp","Unassigned","Food Animal","Litopenaeus Lit v 2","IgE but no biological test","356","B0FRF9.1","1679377515","20"
